well6,584.65,380.29,160.1,S
well6,585.01,380.87,141.8,C
well6,585.19,381.17,132.4,C
well6,585.35,381.43,124.3,S
well6,585.44,381.57,120.0,S
well6,585.66,381.93,108.7,S
well6,585.88,382.29,97.6,S
well6,586.2,382.82,81.2,S
well6,586.3,382.98,76.1,S
well6,586.43,383.2,69.3,S
well6,586.52,383.34,65.0,C
well6,586.64,383.53,59.0,C
well6,586.95,384.05,42.8,C
well6,587.18,384.42,31.3,C
well6,587.38,384.74,21.3,C
well6,587.6,385.1,10.0,C
well7,615.9,389.9,300.0,
well7,616.51,390.77,278.1,S
well7,616.77,391.15,268.8,S
well7,617.04,391.53,259.3,C
well7,617.34,391.96,248.6,C
well7,617.76,392.57,233.3,S
well7,618.0,392.91,224.7,S
well7,618.5,393.62,206.9,C
well7,618.69,393.9,200.1,S
well7,618.86,394.14,193.9,S
well7,619.47,395.01,172.3,S
well7,619.72,395.37,163.2,C
well7,620.05,395.85,151.4,C
well7,620.49,396.47,135.7,S
well7,620.9,397.06,121.1,C
well7,621.06,397.28,115.4,C
well7,621.67,398.16,93.5,S
well7,622.32,399.09,70.3,C
well7,622.89,399.91,49.8,S
well7,623.17,400.31,39.8,C
well7,623.58,400.9,25.0,C
well7,623.89,401.34,14.1,C
well7,624.0,401.5,10.0,C
well8,55.4,416.6,300.0,
well8,55.37,416.64,297.0,C
well8,55.3,416.71,290.7,S
well8,55.27,416.75,287.7,S
well8,55.15,416.88,276.8,S
well8,55.04,417.01,266.3,S
well8,54.96,417.1,258.6,S
well8,54.83,417.24,246.7,S
well8,54.74,417.35,237.8,S
well8,54.7,417.39,234.8,S
well8,54.66,417.44,230.7,S
well8,54.61,417.5,225.8,S
well8,54.54,417.57,219.3,C
well8,54.5,417.61,216.1,C
well8,54.4,417.73,206.4,C
well8,54.31,417.83,197.7,S
well8,54.2,417.96,187.7,S
well8,54.12,418.05,180.1,S
well8,53.98,418.2,167.4,C
well8,53.9,418.3,159.3,C
well8,53.87,418.33,156.6,S
well8,53.73,418.49,143.6,S
well8,53.62,418.61,133.2,S
well8,53.48,418.76,120.8,C
well8,53.33,418.93,106.7,C
well8,53.3,418.97,103.6,C
well8,53.24,419.03,98.2,C
well8,53.21,419.07,95.0,C
well8,53.13,419.17,87.5,C
well8,52.99,419.32,74.5,S
well8,52.95,419.36,71.1,C
well8,52.87,419.46,62.9,C
well8,52.82,419.51,58.8,S
well8,52.7,419.65,47.0,S
well8,52.56,419.81,34.3,S
well8,52.53,419.84,31.3,C
well8,52.44,419.94,23.0,C
well8,52.38,420.01,17.5,C
well8,52.3,420.1,10.0,S
well9,239.6,434.0,300.0,
well9,239.67,433.8,288.2,S
well9,239.73,433.64,278.9,S
well9,239.78,433.49,270.6,S
well9,239.82,433.4,265.3,S
well9,239.85,433.3,259.7,S
well9,239.93,433.09,247.5,C
well9,239.97,432.97,240.3,S
well9,239.99,432.92,237.3,S
well9,240.07,432.7,224.7,S
