# X, Y, Z
0.000000 0.000000 -21.715980
50.000000 0.000000 -18.227357
100.000000 0.000000 -14.978700
150.000000 0.000000 -11.987493
200.000000 0.000000 -9.271221
250.000000 0.000000 -6.847369
300.000000 0.000000 -4.733421
350.000000 0.000000 -2.946861
400.000000 0.000000 -1.505176
450.000000 0.000000 -0.425849
500.000000 0.000000 0.273635
550.000000 0.000000 0.575792
600.000000 0.000000 0.463136
650.000000 0.000000 -0.081818
700.000000 0.000000 -1.076553
750.000000 0.000000 -2.530440
800.000000 0.000000 -4.408289
850.000000 0.000000 -6.824424
900.000000 0.000000 -9.696726
950.000000 0.000000 -12.934278
1000.000000 0.000000 -16.446165
1050.000000 0.000000 -20.141469
1100.000000 0.000000 -23.929276
1150.000000 0.000000 -27.718668
1200.000000 0.000000 -31.418730
1250.000000 0.000000 -34.938545
1300.000000 0.000000 -38.187198
1350.000000 0.000000 -41.073772
1400.000000 0.000000 -43.507350
1450.000000 0.000000 -45.397018
1500.000000 0.000000 -46.650024
1550.000000 0.000000 -47.300530
1600.000000 0.000000 -47.425335
1650.000000 0.000000 -47.073925
1700.000000 0.000000 -46.304419
1750.000000 0.000000 -45.174932
1800.000000 0.000000 -43.743580
1850.000000 0.000000 -42.068481
1900.000000 0.000000 -40.207751
1950.000000 0.000000 -38.219507
2000.000000 0.000000 -36.161864
2050.000000 0.000000 -34.092941
2100.000000 0.000000 -32.070852
2150.000000 0.000000 -30.153716
2200.000000 0.000000 -28.399648
2250.000000 0.000000 -26.866765
2300.000000 0.000000 -25.613183
2350.000000 0.000000 -24.697020
2400.000000 0.000000 -24.179423
2450.000000 0.000000 -24.167459
2500.000000 0.000000 -24.592959
2550.000000 0.000000 -25.431554
2600.000000 0.000000 -26.661520
2650.000000 0.000000 -28.261132
2700.000000 0.000000 -30.208666
2750.000000 0.000000 -32.482397
2800.000000 0.000000 -35.060602
2850.000000 0.000000 -37.921555
2900.000000 0.000000 -41.043532
2950.000000 0.000000 -44.404810
0.000000 50.000000 -22.422981
50.000000 50.000000 -19.001441
100.000000 50.000000 -15.830735
150.000000 50.000000 -12.928348
200.000000 50.000000 -10.311765
250.000000 50.000000 -7.998470
300.000000 50.000000 -6.005949
350.000000 50.000000 -4.351685
400.000000 50.000000 -3.053164
450.000000 50.000000 -2.127871
500.000000 50.000000 -1.593289
550.000000 50.000000 -1.466903
600.000000 50.000000 -1.766199
650.000000 50.000000 -2.514729
700.000000 50.000000 -3.687152
750.000000 50.000000 -5.108416
800.000000 50.000000 -6.852367
850.000000 50.000000 -8.843489
900.000000 50.000000 -11.331312
950.000000 50.000000 -14.215100
1000.000000 50.000000 -17.403937
1050.000000 50.000000 -20.806908
1100.000000 50.000000 -24.333095
