# GridID, X, Y, Top_horizon_elevation, Bot_horizon_elevation
1 0.300000 0.300000 35.355031 -21.715980
2 15.300000 0.300000 36.693460 -20.645237
3 30.300000 0.300000 38.006269 -19.594990
4 45.300000 0.300000 39.292869 -18.565710
5 60.300000 0.300000 40.552670 -17.557869
6 75.300000 0.300000 41.785081 -16.571940
7 90.300000 0.300000 42.989512 -15.608395
8 105.300000 0.300000 44.165374 -14.667706
9 120.300000 0.300000 45.312076 -13.750344
10 135.300000 0.300000 46.429028 -12.856783
11 150.300000 0.300000 47.515639 -11.987493
12 165.300000 0.300000 48.571321 -11.142948
13 180.300000 0.300000 49.595482 -10.323619
14 195.300000 0.300000 50.587533 -9.529978
15 210.300000 0.300000 51.546884 -8.762498
16 225.300000 0.300000 52.472943 -8.021650
17 240.300000 0.300000 53.365122 -7.307906
18 255.300000 0.300000 54.222831 -6.621740
19 270.300000 0.300000 55.045478 -5.963622
20 285.300000 0.300000 55.832474 -5.334025
21 300.300000 0.300000 56.583229 -4.733421
22 315.300000 0.300000 57.297153 -4.162281
23 330.300000 0.300000 57.973655 -3.621079
24 345.300000 0.300000 58.612146 -3.110286
25 360.300000 0.300000 59.212036 -2.630375
26 375.300000 0.300000 59.772734 -2.181817
27 390.300000 0.300000 60.293649 -1.765084
28 405.300000 0.300000 60.774193 -1.380648
29 420.300000 0.300000 61.213775 -1.028983
30 435.300000 0.300000 61.611805 -0.710559
31 450.300000 0.300000 61.967693 -0.425849
32 465.300000 0.300000 62.280848 -0.175324
33 480.300000 0.300000 62.550681 0.040542
34 495.300000 0.300000 62.776601 0.221278
35 510.300000 0.300000 62.958018 0.366412
36 525.300000 0.300000 63.094343 0.475472
37 540.300000 0.300000 63.184985 0.547986
38 555.300000 0.300000 63.229354 0.583481
39 570.300000 0.300000 63.226860 0.581486
40 585.300000 0.300000 63.176912 0.541528
41 600.300000 0.300000 63.078922 0.463136
42 615.300000 0.300000 62.932297 0.345836
43 630.300000 0.300000 62.736450 0.189158
44 645.300000 0.300000 62.490788 -0.007371
45 660.300000 0.300000 62.194723 -0.244223
46 675.300000 0.300000 61.847664 -0.521870
47 690.300000 0.300000 61.449021 -0.840784
48 705.300000 0.300000 60.998204 -1.201437
49 720.300000 0.300000 60.494623 -1.604302
50 735.300000 0.300000 59.937377 -2.050098
51 750.300000 0.300000 59.336951 -2.530440
52 765.300000 0.300000 58.703626 -3.037099
53 780.300000 0.300000 58.012591 -3.589927
54 795.300000 0.300000 57.255919 -4.195265
55 810.300000 0.300000 56.436676 -4.850659
