# X, Y, Z
0.000000 0.000000 35.355031
50.000000 0.000000 39.715810
100.000000 0.000000 43.776631
150.000000 0.000000 47.515639
200.000000 0.000000 50.910979
250.000000 0.000000 53.940794
300.000000 0.000000 56.583229
350.000000 0.000000 58.816428
400.000000 0.000000 60.618534
450.000000 0.000000 61.967693
500.000000 0.000000 62.842047
550.000000 0.000000 63.219742
600.000000 0.000000 63.078922
650.000000 0.000000 62.397729
700.000000 0.000000 61.154310
750.000000 0.000000 59.336951
800.000000 0.000000 56.989638
850.000000 0.000000 53.969469
900.000000 0.000000 50.379091
950.000000 0.000000 46.332151
1000.000000 0.000000 41.942292
1050.000000 0.000000 37.323162
1100.000000 0.000000 32.588403
1150.000000 0.000000 27.851663
1200.000000 0.000000 23.226586
1250.000000 0.000000 18.826817
1300.000000 0.000000 14.766001
1350.000000 0.000000 11.157784
1400.000000 0.000000 8.115811
1450.000000 0.000000 5.753727
1500.000000 0.000000 4.187472
1550.000000 0.000000 3.374339
1600.000000 0.000000 3.218335
1650.000000 0.000000 3.657597
1700.000000 0.000000 4.619482
1750.000000 0.000000 6.031341
1800.000000 0.000000 7.820532
1850.000000 0.000000 9.914406
1900.000000 0.000000 12.240319
1950.000000 0.000000 14.725625
2000.000000 0.000000 17.297678
2050.000000 0.000000 19.883833
2100.000000 0.000000 22.411443
2150.000000 0.000000 24.807863
2200.000000 0.000000 27.000448
2250.000000 0.000000 28.916551
2300.000000 0.000000 30.483527
2350.000000 0.000000 31.628730
2400.000000 0.000000 32.275724
2450.000000 0.000000 32.290678
2500.000000 0.000000 31.758801
2550.000000 0.000000 30.710556
2600.000000 0.000000 29.173098
2650.000000 0.000000 27.173582
2700.000000 0.000000 24.739164
2750.000000 0.000000 21.896999
2800.000000 0.000000 18.674243
2850.000000 0.000000 15.098052
2900.000000 0.000000 11.195580
2950.000000 0.000000 6.993984
0.000000 50.000000 34.471283
50.000000 50.000000 38.748208
100.000000 50.000000 42.711590
150.000000 50.000000 46.339573
200.000000 50.000000 49.610301
250.000000 50.000000 52.501919
300.000000 50.000000 54.992571
350.000000 50.000000 57.060400
400.000000 50.000000 58.683550
450.000000 50.000000 59.840167
500.000000 50.000000 60.508394
550.000000 50.000000 60.666375
600.000000 50.000000 60.292254
650.000000 50.000000 59.356592
700.000000 50.000000 57.891062
750.000000 50.000000 56.114481
800.000000 50.000000 53.934543
850.000000 50.000000 51.445640
900.000000 50.000000 48.335861
950.000000 50.000000 44.731126
1000.000000 50.000000 40.745079
1050.000000 50.000000 36.491366
1100.000000 50.000000 32.083633
1150.000000 50.000000 27.635523
1200.000000 50.000000 23.260683
1250.000000 50.000000 19.072757
1300.000000 50.000000 15.185392
1350.000000 50.000000 11.712231
1400.000000 50.000000 8.766920
1450.000000 50.000000 6.463105
1500.000000 50.000000 4.992328
1550.000000 50.000000 4.361629
1600.000000 50.000000 3.960121
1650.000000 50.000000 4.226288
1700.000000 50.000000 5.044528
1750.000000 50.000000 6.342194
1800.000000 50.000000 8.046642
1850.000000 50.000000 10.085225
1900.000000 50.000000 12.385298
1950.000000 50.000000 14.874214
2000.000000 50.000000 17.479328
2050.000000 50.000000 20.127995
2100.000000 50.000000 22.747569
2150.000000 50.000000 25.265404
2200.000000 50.000000 27.608854
2250.000000 50.000000 29.705273
2300.000000 50.000000 31.482016
2350.000000 50.000000 32.866437
2400.000000 50.000000 33.657013
2450.000000 50.000000 33.644382
2500.000000 50.000000 32.987667
2550.000000 50.000000 31.825958
2600.000000 50.000000 30.186411
2650.000000 50.000000 28.096182
2700.000000 50.000000 25.582427
2750.000000 50.000000 22.672302
2800.000000 50.000000 19.392961
2850.000000 50.000000 15.771560
2900.000000 50.000000 11.835256
2950.000000 50.000000 7.611202
0.000000 100.000000 33.364239
50.000000 100.000000 37.551306
100.000000 100.000000 41.411245
150.000000 100.000000 44.922198
200.000000 100.000000 48.062311
250.000000 100.000000 50.809727
300.000000 100.000000 53.142590
350.000000 100.000000 55.039045
400.000000 100.000000 56.477236
450.000000 100.000000 57.435306
500.000000 100.000000 57.890042
550.000000 100.000000 57.807774
600.000000 100.000000 57.158023
650.000000 100.000000 56.059114
700.000000 100.000000 54.824326
750.000000 100.000000 53.041425
800.000000 100.000000 50.625628
850.000000 100.000000 48.534446
900.000000 100.000000 45.936970
950.000000 100.000000 42.778145
1000.000000 100.000000 39.199616
1050.000000 100.000000 35.315026
1100.000000 100.000000 31.238022
1150.000000 100.000000 27.082248
1200.000000 100.000000 22.961351
1250.000000 100.000000 18.988974
1300.000000 100.000000 15.278763
1350.000000 100.000000 11.944364
1400.000000 100.000000 9.099421
1450.000000 100.000000 6.880419
1500.000000 100.000000 5.578545
1550.000000 100.000000 5.361198
1600.000000 100.000000 5.092728
1650.000000 100.000000 5.078458
1700.000000 100.000000 5.733551
1750.000000 100.000000 6.909965
1800.000000 100.000000 8.522611
1850.000000 100.000000 10.498843
1900.000000 100.000000 12.766016
1950.000000 100.000000 15.251483
2000.000000 100.000000 17.882600
2050.000000 100.000000 20.586720
2100.000000 100.000000 23.291198
2150.000000 100.000000 25.923388
2200.000000 100.000000 28.410644
2250.000000 100.000000 30.680320
2300.000000 100.000000 32.659772
2350.000000 100.000000 34.206495
2400.000000 100.000000 35.049752
2450.000000 100.000000 35.083610
2500.000000 100.000000 34.376355
2550.000000 100.000000 33.109442
2600.000000 100.000000 31.376068
2650.000000 100.000000 29.203387
2700.000000 100.000000 26.618557
2750.000000 100.000000 23.648732
2800.000000 100.000000 20.321067
2850.000000 100.000000 16.662719
2900.000000 100.000000 12.700843
2950.000000 100.000000 8.462593
0.000000 150.000000 32.065953
50.000000 150.000000 36.157158
100.000000 150.000000 39.907648
150.000000 150.000000 43.295568
200.000000 150.000000 46.299060
250.000000 150.000000 48.896270
300.000000 150.000000 51.065340
350.000000 150.000000 52.784417
400.000000 150.000000 54.026463
450.000000 150.000000 54.758878
500.000000 150.000000 54.952559
550.000000 150.000000 54.578413
600.000000 150.000000 53.867033
650.000000 150.000000 53.072127
700.000000 150.000000 51.918686
750.000000 150.000000 50.110665
800.000000 150.000000 47.616953
850.000000 150.000000 45.184281
900.000000 150.000000 43.156921
950.000000 150.000000 40.493548
1000.000000 150.000000 37.328438
1050.000000 150.000000 33.816677
1100.000000 150.000000 30.074108
1150.000000 150.000000 26.214375
1200.000000 150.000000 22.351125
1250.000000 150.000000 18.598002
1300.000000 150.000000 15.068651
1350.000000 150.000000 11.876718
1400.000000 150.000000 9.137808
1450.000000 150.000000 7.080393
1500.000000 150.000000 5.949115
1550.000000 150.000000 5.916935
1600.000000 150.000000 6.460508
1650.000000 150.000000 6.364331
1700.000000 150.000000 6.716079
1750.000000 150.000000 7.713618
1800.000000 150.000000 9.226356
1850.000000 150.000000 11.133178
1900.000000 150.000000 13.360392
1950.000000 150.000000 15.835352
2000.000000 150.000000 18.485412
2050.000000 150.000000 21.237926
2100.000000 150.000000 24.020248
2150.000000 150.000000 26.759734
2200.000000 150.000000 29.383737
2250.000000 150.000000 31.819611
2300.000000 150.000000 33.962435
2350.000000 150.000000 35.567630
2400.000000 150.000000 36.463478
2450.000000 150.000000 36.543826
2500.000000 150.000000 35.870079
2550.000000 150.000000 34.541022
2600.000000 150.000000 32.722081
2650.000000 150.000000 30.475211
2700.000000 150.000000 27.827566
2750.000000 150.000000 24.806302
2800.000000 150.000000 21.438575
2850.000000 150.000000 17.751541
2900.000000 150.000000 13.772353
2950.000000 150.000000 9.528170
0.000000 200.000000 30.608477
50.000000 200.000000 34.597816
100.000000 200.000000 38.232854
150.000000 200.000000 41.491734
200.000000 200.000000 44.352602
250.000000 200.000000 46.792821
300.000000 200.000000 48.782100
350.000000 200.000000 50.290488
400.000000 200.000000 51.288892
450.000000 200.000000 51.748218
500.000000 200.000000 51.652623
550.000000 200.000000 51.335898
600.000000 200.000000 50.932454
650.000000 200.000000 50.327785
700.000000 200.000000 49.148229
750.000000 200.000000 47.315089
800.000000 200.000000 44.794420
850.000000 200.000000 41.951858
900.000000 200.000000 39.935403
950.000000 200.000000 37.835703
1000.000000 200.000000 35.145544
1050.000000 200.000000 32.018854
1100.000000 200.000000 28.614425
1150.000000 200.000000 25.054439
1200.000000 200.000000 21.452541
1250.000000 200.000000 17.922377
1300.000000 200.000000 14.577592
1350.000000 200.000000 11.531831
1400.000000 200.000000 8.946042
1450.000000 200.000000 7.069730
1500.000000 200.000000 6.107035
1550.000000 200.000000 6.247831
1600.000000 200.000000 7.315029
1650.000000 200.000000 8.031530
1700.000000 200.000000 8.143942
1750.000000 200.000000 8.840607
1800.000000 200.000000 10.153622
1850.000000 200.000000 11.966149
1900.000000 200.000000 14.146345
1950.000000 200.000000 16.603737
2000.000000 200.000000 19.265681
2050.000000 200.000000 22.059529
2100.000000 200.000000 24.912638
2150.000000 200.000000 27.752360
2200.000000 200.000000 30.506051
2250.000000 200.000000 33.089745
2300.000000 200.000000 35.300270
2350.000000 200.000000 36.959292
2400.000000 200.000000 37.907733
2450.000000 200.000000 38.034571
2500.000000 200.000000 37.396346
2550.000000 200.000000 36.085318
2600.000000 200.000000 34.204463
2650.000000 200.000000 31.891664
2700.000000 200.000000 29.189466
2750.000000 200.000000 26.125025
2800.000000 200.000000 22.725497
2850.000000 200.000000 19.018037
2900.000000 200.000000 15.029801
2950.000000 200.000000 10.787943
0.000000 250.000000 29.023864
50.000000 250.000000 32.905332
100.000000 250.000000 36.418913
150.000000 250.000000 39.539742
200.000000 250.000000 42.237534
250.000000 250.000000 44.483186
300.000000 250.000000 46.247603
350.000000 250.000000 47.501691
400.000000 250.000000 48.216357
450.000000 250.000000 48.420486
500.000000 250.000000 48.486789
550.000000 250.000000 48.463052
600.000000 250.000000 48.309069
650.000000 250.000000 47.711540
700.000000 250.000000 46.505840
750.000000 250.000000 44.647581
800.000000 250.000000 42.099956
850.000000 250.000000 39.041834
900.000000 250.000000 36.494804
950.000000 250.000000 34.762413
