# X, Y, Z
49.85 488.60 330.75
69.71 488.60 322.76
89.56 488.60 314.63
109.41 488.60 306.50
129.27 488.60 298.49
149.12 488.60 290.10
168.97 488.60 283.57
188.82 488.60 276.17
208.68 488.60 269.18
228.53 488.60 263.97
248.38 488.60 258.66
268.24 488.60 256.40
288.09 488.60 254.01
307.94 488.60 253.44
327.80 488.60 255.84
347.65 488.60 257.95
367.50 488.60 263.12
387.36 488.60 267.99
407.21 488.60 273.82
427.06 488.60 282.18
446.92 488.60 288.68
466.77 488.60 297.05
486.62 488.60 304.94
506.48 488.60 312.72
526.33 488.60 320.68
546.18 488.60 327.49
566.03 488.60 335.55
585.89 488.60 343.12
605.74 488.60 350.88
625.59 488.60 358.98
645.45 488.60 368.21
665.30 488.60 375.36
30.00 468.61 329.90
49.85 468.61 323.36
69.71 468.61 315.41
89.56 468.61 307.13
109.41 468.61 298.88
129.27 468.61 291.46
149.12 468.61 283.61
168.97 468.61 275.99
188.82 468.61 268.83
208.68 468.61 261.97
228.53 468.61 257.13
248.38 468.61 252.81
268.24 468.61 249.47
288.09 468.61 247.20
307.94 468.61 247.04
327.80 468.61 248.72
347.65 468.61 252.11
367.50 468.61 256.28
387.36 468.61 260.92
407.21 468.61 266.68
427.06 468.61 274.60
446.92 468.61 282.19
466.77 468.61 290.01
486.62 468.61 297.39
506.48 468.61 304.74
526.33 468.61 312.81
546.18 468.61 320.64
566.03 468.61 328.44
585.89 468.61 335.50
605.74 468.61 343.32
625.59 468.61 351.64
645.45 468.61 360.83
665.30 468.61 367.43
30.00 448.62 322.78
49.85 448.62 315.49
69.71 448.62 307.64
89.56 448.62 299.48
109.41 448.62 291.20
129.27 448.62 283.69
149.12 448.62 275.76
168.97 448.62 268.22
188.82 448.62 262.16
208.68 448.62 255.01
228.53 448.62 249.43
248.38 448.62 245.03
268.24 448.62 241.82
288.09 448.62 240.62
307.94 448.62 240.44
327.80 448.62 241.38
347.65 448.62 244.34
367.50 448.62 248.54
387.36 448.62 253.98
407.21 448.62 259.98
427.06 448.62 266.90
446.92 448.62 274.34
466.77 448.62 282.20
486.62 448.62 289.69
506.48 448.62 297.96
526.33 448.62 304.87
546.18 448.62 312.75
566.03 448.62 320.63
585.89 448.62 327.42
605.74 448.62 335.69
625.59 448.62 343.91
645.45 448.62 352.97
665.30 448.62 360.36
30.00 428.64 315.09
49.85 428.64 307.69
69.71 428.64 299.89
89.56 428.64 291.83
109.41 428.64 284.09
129.27 428.64 275.84
149.12 428.64 267.82
168.97 428.64 260.31
188.82 428.64 253.99
208.68 428.64 247.12
228.53 428.64 241.44
248.38 428.64 237.01
268.24 428.64 234.01
288.09 428.64 232.29
307.94 428.64 232.15
327.80 428.64 233.68
347.65 428.64 236.30
367.50 428.64 240.55
387.36 428.64 246.05
407.21 428.64 251.88
427.06 428.64 259.61
446.92 428.64 266.40
466.77 428.64 274.31
486.62 428.64 282.56
506.48 428.64 290.02
526.33 428.64 297.89
546.18 428.64 304.88
566.03 428.64 312.73
585.89 428.64 320.66
605.74 428.64 328.07
625.59 428.64 336.19
645.45 428.64 345.18
665.30 428.64 352.64
30.00 408.65 307.41
49.85 408.65 299.85
69.71 408.65 292.12
89.56 408.65 284.25
109.41 408.65 276.18
129.27 408.65 267.81
149.12 408.65 260.63
168.97 408.65 252.82
188.82 408.65 245.83
208.68 408.65 238.72
228.53 408.65 233.25
248.38 408.65 229.19
268.24 408.65 225.63
288.09 408.65 223.44
307.94 408.65 223.25
327.80 408.65 225.14
347.65 408.65 228.48
367.50 408.65 232.35
387.36 408.65 237.62
407.21 408.65 243.76
427.06 408.65 251.50
446.92 408.65 259.22
466.77 408.65 266.31
486.62 408.65 274.63
506.48 408.65 282.74
526.33 408.65 290.07
546.18 408.65 298.03
566.03 408.65 304.77
585.89 408.65 312.73
605.74 408.65 320.62
625.59 408.65 328.54
645.45 408.65 337.32
665.30 408.65 344.93
30.00 388.66 299.50
49.85 388.66 291.90
69.71 388.66 284.08
89.56 388.66 276.17
109.41 388.66 268.22
129.27 388.66 260.24
149.12 388.66 252.36
168.97 388.66 244.80
188.82 388.66 237.81
208.68 388.66 230.62
228.53 388.66 225.32
248.38 388.66 220.92
268.24 388.66 217.50
288.09 388.66 215.40
307.94 388.66 215.00
327.80 388.66 217.00
347.65 388.66 220.21
367.50 388.66 224.44
387.36 388.66 229.63
407.21 388.66 235.52
427.06 388.66 243.46
446.92 388.66 250.95
466.77 388.66 258.78
486.62 388.66 266.70
506.48 388.66 274.55
526.33 388.66 282.11
546.18 388.66 289.76
566.03 388.66 297.41
585.89 388.66 304.86
605.74 388.66 312.82
625.59 388.66 320.50
645.45 388.66 329.46
665.30 388.66 337.09
30.00 368.68 291.36
49.85 368.68 283.82
69.71 368.68 276.51
89.56 368.68 268.35
109.41 368.68 260.14
129.27 368.68 252.13
149.12 368.68 244.24
168.97 368.68 236.70
188.82 368.68 229.66
208.68 368.68 222.56
228.53 368.68 217.31
248.38 368.68 212.90
268.24 368.68 209.61
288.09 368.68 207.59
307.94 368.68 207.41
327.80 368.68 209.14
347.65 368.68 212.20
367.50 368.68 216.42
387.36 368.68 221.53
407.21 368.68 227.47
427.06 368.68 235.37
446.92 368.68 242.83
466.77 368.68 250.66
486.62 368.68 258.46
506.48 368.68 266.16
526.33 368.68 273.78
546.18 368.68 281.57
566.03 368.68 289.32
585.89 368.68 297.11
605.74 368.68 304.94
625.59 368.68 313.03
645.45 368.68 321.41
665.30 368.68 328.99
30.00 348.69 282.56
49.85 348.69 275.43
69.71 348.69 267.52
89.56 348.69 259.34
109.41 348.69 251.26
129.27 348.69 243.22
149.12 348.69 235.37
168.97 348.69 227.79
188.82 348.69 220.81
208.68 348.69 213.67
228.53 348.69 208.49
248.38 348.69 204.15
268.24 348.69 200.85
288.09 348.69 198.83
307.94 348.69 198.66
327.80 348.69 200.39
347.65 348.69 203.45
367.50 348.69 207.62
387.36 348.69 212.63
407.21 348.69 218.65
427.06 348.69 226.44
446.92 348.69 233.95
466.77 348.69 241.77
486.62 348.69 249.51
506.48 348.69 257.38
526.33 348.69 264.71
546.18 348.69 272.62
566.03 348.69 280.42
585.89 348.69 288.23
605.74 348.69 296.04
625.59 348.69 304.09
645.45 348.69 313.14
665.30 348.69 320.29
30.00 328.70 275.27
49.85 328.70 268.07
69.71 328.70 260.12
89.56 328.70 251.96
109.41 328.70 243.85
129.27 328.70 236.03
149.12 328.70 228.26
168.97 328.70 220.70
188.82 328.70 213.30
208.68 328.70 206.21
228.53 328.70 201.36
248.38 328.70 197.18
268.24 328.70 193.67
288.09 328.70 191.18
307.94 328.70 190.94
327.80 328.70 193.10
347.65 328.70 196.48
367.50 328.70 200.56
387.36 328.70 205.24
407.21 328.70 211.10
427.06 328.70 219.29
446.92 328.70 226.84
466.77 328.70 234.46
486.62 328.70 242.17
506.48 328.70 249.98
526.33 328.70 258.02
546.18 328.70 265.44
566.03 328.70 273.16
585.89 328.70 280.76
605.74 328.70 288.59
625.59 328.70 296.62
645.45 328.70 305.74
665.30 328.70 312.97
