# X, Y, Z
49.85 488.60 528.17
69.71 488.60 524.02
89.56 488.60 520.01
109.41 488.60 516.06
129.27 488.60 512.78
149.12 488.60 509.19
168.97 488.60 505.36
188.82 488.60 500.30
208.68 488.60 492.46
228.53 488.60 483.12
248.38 488.60 473.23
268.24 488.60 463.68
288.09 488.60 453.55
307.94 488.60 444.46
327.80 488.60 436.84
347.65 488.60 429.47
367.50 488.60 424.88
387.36 488.60 420.48
407.21 488.60 418.85
427.06 488.60 421.45
446.92 488.60 424.23
466.77 488.60 429.25
486.62 488.60 434.00
506.48 488.60 438.61
526.33 488.60 442.94
546.18 488.60 446.48
566.03 488.60 450.65
585.89 488.60 454.58
605.74 488.60 458.60
625.59 488.60 462.81
645.45 488.60 467.59
665.30 488.60 471.30
30.00 468.61 527.72
49.85 468.61 524.34
69.71 468.61 520.22
89.56 468.61 515.92
109.41 468.61 512.30
129.27 468.61 509.09
149.12 468.61 505.18
168.97 468.61 500.67
188.82 468.61 495.35
208.68 468.61 487.70
228.53 468.61 479.20
248.38 468.61 469.52
268.24 468.61 459.57
288.09 468.61 449.96
307.94 468.61 441.25
327.80 468.61 433.47
347.65 468.61 427.09
367.50 468.61 421.63
387.36 468.61 417.76
407.21 468.61 416.71
427.06 468.61 418.09
446.92 468.61 421.56
466.77 468.61 425.68
486.62 468.61 430.14
506.48 468.61 434.68
526.33 468.61 438.87
546.18 468.61 442.92
566.03 468.61 446.97
585.89 468.61 450.63
605.74 468.61 454.69
625.59 468.61 459.00
645.45 468.61 463.76
665.30 468.61 467.19
30.00 448.62 524.04
49.85 448.62 520.25
69.71 448.62 516.18
89.56 448.62 511.95
109.41 448.62 507.66
129.27 448.62 505.08
149.12 448.62 501.04
168.97 448.62 496.43
188.82 448.62 491.74
208.68 448.62 483.28
228.53 448.62 475.04
248.38 448.62 465.41
268.24 448.62 455.56
288.09 448.62 446.51
307.94 448.62 437.84
327.80 448.62 429.88
347.65 448.62 423.12
367.50 448.62 417.77
387.36 448.62 414.99
407.21 448.62 413.41
427.06 448.62 414.63
446.92 448.62 417.58
466.77 448.62 421.63
486.62 448.62 426.88
506.48 448.62 431.17
526.33 448.62 434.74
546.18 448.62 438.83
566.03 448.62 442.92
585.89 448.62 446.44
605.74 448.62 450.73
625.59 448.62 454.99
645.45 448.62 459.69
665.30 448.62 463.52
30.00 428.64 520.05
49.85 428.64 516.21
69.71 428.64 512.17
89.56 428.64 507.99
109.41 428.64 504.62
129.27 428.64 500.72
149.12 428.64 497.02
168.97 428.64 492.61
188.82 428.64 487.80
208.68 428.64 480.13
228.53 428.64 471.06
248.38 428.64 461.35
268.24 428.64 452.05
288.09 428.64 442.24
307.94 428.64 433.52
327.80 428.64 425.66
347.65 428.64 418.87
367.50 428.64 413.42
387.36 428.64 409.92
407.21 428.64 408.87
427.06 428.64 410.23
446.92 428.64 413.35
