# GridID, X, Y, Top_horizon_elevation, Bot_horizon_elevation
0 0.000000 0.000000 35.355031 -21.715980
1 15.000000 0.000000 36.693460 -20.645237
2 30.000000 0.000000 38.006269 -19.594990
3 45.000000 0.000000 39.292869 -18.565710
4 60.000000 0.000000 40.552670 -17.557869
5 75.000000 0.000000 41.785081 -16.571940
6 90.000000 0.000000 42.989512 -15.608395
7 105.000000 0.000000 44.165374 -14.667706
8 120.000000 0.000000 45.312076 -13.750344
9 135.000000 0.000000 46.429028 -12.856783
10 150.000000 0.000000 47.515639 -11.987493
11 165.000000 0.000000 48.571321 -11.142948
12 180.000000 0.000000 49.595482 -10.323619
13 195.000000 0.000000 50.587533 -9.529978
14 210.000000 0.000000 51.546884 -8.762498
15 225.000000 0.000000 52.472943 -8.021650
16 240.000000 0.000000 53.365122 -7.307906
17 255.000000 0.000000 54.222831 -6.621740
18 270.000000 0.000000 55.045478 -5.963622
19 285.000000 0.000000 55.832474 -5.334025
20 300.000000 0.000000 56.583229 -4.733421
21 315.000000 0.000000 57.297153 -4.162281
22 330.000000 0.000000 57.973655 -3.621079
23 345.000000 0.000000 58.612146 -3.110286
24 360.000000 0.000000 59.212036 -2.630375
25 375.000000 0.000000 59.772734 -2.181817
26 390.000000 0.000000 60.293649 -1.765084
27 405.000000 0.000000 60.774193 -1.380648
28 420.000000 0.000000 61.213775 -1.028983
29 435.000000 0.000000 61.611805 -0.710559
30 450.000000 0.000000 61.967693 -0.425849
31 465.000000 0.000000 62.280848 -0.175324
32 480.000000 0.000000 62.550681 0.040542
33 495.000000 0.000000 62.776601 0.221278
34 510.000000 0.000000 62.958018 0.366412
35 525.000000 0.000000 63.094343 0.475472
36 540.000000 0.000000 63.184985 0.547986
37 555.000000 0.000000 63.229354 0.583481
38 570.000000 0.000000 63.226860 0.581486
39 585.000000 0.000000 63.176912 0.541528
40 600.000000 0.000000 63.078922 0.463136
41 615.000000 0.000000 62.932297 0.345836
42 630.000000 0.000000 62.736450 0.189158
43 645.000000 0.000000 62.490788 -0.007371
44 660.000000 0.000000 62.194723 -0.244223
45 675.000000 0.000000 61.847664 -0.521870
46 690.000000 0.000000 61.449021 -0.840784
47 705.000000 0.000000 60.998204 -1.201437
48 720.000000 0.000000 60.494623 -1.604302
49 735.000000 0.000000 59.937377 -2.050098
50 750.000000 0.000000 59.336951 -2.530440
51 765.000000 0.000000 58.703626 -3.037099
52 780.000000 0.000000 58.012591 -3.589927
53 795.000000 0.000000 57.255919 -4.195265
54 810.000000 0.000000 56.436676 -4.850659
55 825.000000 0.000000 55.557933 -5.553654
56 840.000000 0.000000 54.622756 -6.301795
57 855.000000 0.000000 53.634215 -7.092627
58 870.000000 0.000000 52.595379 -7.923696
59 885.000000 0.000000 51.509315 -8.792548
60 900.000000 0.000000 50.379091 -9.696726
61 915.000000 0.000000 49.207777 -10.633777
62 930.000000 0.000000 47.998441 -11.601246
63 945.000000 0.000000 46.754151 -12.596678
64 960.000000 0.000000 45.477976 -13.617618
65 975.000000 0.000000 44.172983 -14.661612
66 990.000000 0.000000 42.842243 -15.726205
67 1005.000000 0.000000 41.488821 -16.808941
68 1020.000000 0.000000 40.115789 -17.907368
69 1035.000000 0.000000 38.726213 -19.019028
70 1050.000000 0.000000 37.323162 -20.141469
71 1065.000000 0.000000 35.909704 -21.272235
72 1080.000000 0.000000 34.488909 -22.408871
73 1095.000000 0.000000 33.063844 -23.548923
74 1110.000000 0.000000 31.637577 -24.689937
75 1125.000000 0.000000 30.213178 -25.829456
76 1140.000000 0.000000 28.793715 -26.965026
77 1155.000000 0.000000 27.382255 -28.094194
78 1170.000000 0.000000 25.981869 -29.214504
79 1185.000000 0.000000 24.595623 -30.323500
80 1200.000000 0.000000 23.226586 -31.418730
81 1215.000000 0.000000 21.877827 -32.497737
82 1230.000000 0.000000 20.552414 -33.558067
83 1245.000000 0.000000 19.253416 -34.597266
84 1260.000000 0.000000 17.983901 -35.612878
85 1275.000000 0.000000 16.746937 -36.602449
86 1290.000000 0.000000 15.545593 -37.563524
87 1305.000000 0.000000 14.382938 -38.493649
88 1320.000000 0.000000 13.262039 -39.390368
89 1335.000000 0.000000 12.185965 -40.251227
90 1350.000000 0.000000 11.157784 -41.073772
91 1365.000000 0.000000 10.180566 -41.855546
92 1380.000000 0.000000 9.257378 -42.594097
93 1395.000000 0.000000 8.391289 -43.286968
94 1410.000000 0.000000 7.585367 -43.931706
95 1425.000000 0.000000 6.842680 -44.525856
96 1440.000000 0.000000 6.166298 -45.066962
97 1455.000000 0.000000 5.559288 -45.552570
98 1470.000000 0.000000 5.024719 -45.980225
99 1485.000000 0.000000 4.565660 -46.347473
100 1500.000000 0.000000 4.187472 -46.650024
101 1515.000000 0.000000 3.876657 -46.898676
102 1530.000000 0.000000 3.619689 -47.104250
103 1545.000000 0.000000 3.425476 -47.259620
104 1560.000000 0.000000 3.292030 -47.366378
105 1575.000000 0.000000 3.217388 -47.426091
106 1590.000000 0.000000 3.199590 -47.440331
107 1605.000000 0.000000 3.236673 -47.410664
108 1620.000000 0.000000 3.326676 -47.338662
109 1635.000000 0.000000 3.467638 -47.225893
110 1650.000000 0.000000 3.657597 -47.073925
111 1665.000000 0.000000 3.894593 -46.884329
112 1680.000000 0.000000 4.176663 -46.658674
113 1695.000000 0.000000 4.501846 -46.398528
114 1710.000000 0.000000 4.868180 -46.105460
115 1725.000000 0.000000 5.273705 -45.781040
116 1740.000000 0.000000 5.716458 -45.426838
117 1755.000000 0.000000 6.194479 -45.044421
118 1770.000000 0.000000 6.705806 -44.635360
119 1785.000000 0.000000 7.248477 -44.201223
120 1800.000000 0.000000 7.820532 -43.743580
121 1815.000000 0.000000 8.420007 -43.264000
122 1830.000000 0.000000 9.044943 -42.764051
123 1845.000000 0.000000 9.693378 -42.245303
124 1860.000000 0.000000 10.363350 -41.709326
125 1875.000000 0.000000 11.052898 -41.157688
126 1890.000000 0.000000 11.760060 -40.591958
127 1905.000000 0.000000 12.482876 -40.013706
128 1920.000000 0.000000 13.219382 -39.424500
129 1935.000000 0.000000 13.967619 -38.825911
130 1950.000000 0.000000 14.725625 -38.219507
131 1965.000000 0.000000 15.491438 -37.606856
132 1980.000000 0.000000 16.263097 -36.989529
133 1995.000000 0.000000 17.038640 -36.369095
134 2010.000000 0.000000 17.816106 -35.747122
135 2025.000000 0.000000 18.593533 -35.125180
136 2040.000000 0.000000 19.368961 -34.504838
137 2055.000000 0.000000 20.140427 -33.887665
138 2070.000000 0.000000 20.905970 -33.275231
139 2085.000000 0.000000 21.663630 -32.669103
140 2100.000000 0.000000 22.411443 -32.070852
141 2115.000000 0.000000 23.147450 -31.482047
142 2130.000000 0.000000 23.869687 -30.904257
143 2145.000000 0.000000 24.576195 -30.339050
144 2160.000000 0.000000 25.265012 -29.787997
145 2175.000000 0.000000 25.934176 -29.252666
146 2190.000000 0.000000 26.581725 -28.734626
147 2205.000000 0.000000 27.205699 -28.235447
148 2220.000000 0.000000 27.804135 -27.756698
149 2235.000000 0.000000 28.375073 -27.299947
150 2250.000000 0.000000 28.916551 -26.866765
151 2265.000000 0.000000 29.426608 -26.458719
152 2280.000000 0.000000 29.903281 -26.077380
153 2295.000000 0.000000 30.344611 -25.724316
154 2310.000000 0.000000 30.748634 -25.401097
155 2325.000000 0.000000 31.113391 -25.109292
156 2340.000000 0.000000 31.436918 -24.850469
157 2355.000000 0.000000 31.717256 -24.626199
158 2370.000000 0.000000 31.952442 -24.438049
159 2385.000000 0.000000 32.140515 -24.287590
160 2400.000000 0.000000 32.275724 -24.179423
161 2415.000000 0.000000 32.341210 -24.127034
162 2430.000000 0.000000 32.352762 -24.117792
163 2445.000000 0.000000 32.314419 -24.148466
164 2460.000000 0.000000 32.226915 -24.218469
165 2475.000000 0.000000 32.090983 -24.327214
166 2490.000000 0.000000 31.907355 -24.474116
167 2505.000000 0.000000 31.676765 -24.658588
168 2520.000000 0.000000 31.399946 -24.880042
169 2535.000000 0.000000 31.077632 -25.137893
170 2550.000000 0.000000 30.710556 -25.431554
171 2565.000000 0.000000 30.299450 -25.760438
172 2580.000000 0.000000 29.845049 -26.123959
173 2595.000000 0.000000 29.348084 -26.521531
174 2610.000000 0.000000 28.809290 -26.952566
175 2625.000000 0.000000 28.229400 -27.416478
176 2640.000000 0.000000 27.609146 -27.912680
177 2655.000000 0.000000 26.949263 -28.440587
178 2670.000000 0.000000 26.250482 -28.999611
179 2685.000000 0.000000 25.513538 -29.589166
180 2700.000000 0.000000 24.739164 -30.208666
181 2715.000000 0.000000 23.928092 -30.857523
182 2730.000000 0.000000 23.081057 -31.535151
183 2745.000000 0.000000 22.198790 -32.240964
184 2760.000000 0.000000 21.282026 -32.974375
185 2775.000000 0.000000 20.331498 -33.734798
186 2790.000000 0.000000 19.347938 -34.521646
187 2805.000000 0.000000 18.332081 -35.334332
188 2820.000000 0.000000 17.284658 -36.172270
189 2835.000000 0.000000 16.206404 -37.034873
190 2850.000000 0.000000 15.098052 -37.921555
191 2865.000000 0.000000 13.960334 -38.831729
192 2880.000000 0.000000 12.793984 -39.764809
193 2895.000000 0.000000 11.599736 -40.720208
194 2910.000000 0.000000 10.378322 -41.697339
195 2925.000000 0.000000 9.130475 -42.695616
196 2940.000000 0.000000 7.856929 -43.714453
197 2955.000000 0.000000 6.558418 -44.753263
198 2970.000000 0.000000 5.235673 -45.811458
199 2985.000000 0.000000 3.889429 -46.888454
200 0.000000 15.000000 35.115260 -21.907798
201 15.000000 15.000000 36.446759 -20.842599
202 30.000000 15.000000 37.752272 -19.798188
203 45.000000 15.000000 39.031208 -18.775039
204 60.000000 15.000000 40.282979 -17.773623
205 75.000000 15.000000 41.506993 -16.794411
206 90.000000 15.000000 42.702660 -15.837877
207 105.000000 15.000000 43.869391 -14.904492
208 120.000000 15.000000 45.006596 -13.994729
209 135.000000 15.000000 46.113683 -13.109059
210 150.000000 15.000000 47.190064 -12.247954
211 165.000000 15.000000 48.235148 -11.411887
212 180.000000 15.000000 49.248344 -10.601330
213 195.000000 15.000000 50.229064 -9.816754
214 210.000000 15.000000 51.176716 -9.058633
215 225.000000 15.000000 52.090710 -8.327437
216 240.000000 15.000000 52.970457 -7.623639
217 255.000000 15.000000 53.815366 -6.947712
218 270.000000 15.000000 54.624848 -6.300126
219 285.000000 15.000000 55.398312 -5.681355
220 300.000000 15.000000 56.135168 -5.091870
221 315.000000 15.000000 56.834825 -4.532144
222 330.000000 15.000000 57.496695 -4.002648
223 345.000000 15.000000 58.120186 -3.503855
224 360.000000 15.000000 58.704709 -3.036237
225 375.000000 15.000000 59.249673 -2.600266
226 390.000000 15.000000 59.754488 -2.196413
227 405.000000 15.000000 60.218565 -1.825151
228 420.000000 15.000000 60.641313 -1.486953
229 435.000000 15.000000 61.022142 -1.182289
230 450.000000 15.000000 61.360462 -0.911633
231 465.000000 15.000000 61.655683 -0.675457
232 480.000000 15.000000 61.907215 -0.474231
233 495.000000 15.000000 62.114467 -0.308429
234 510.000000 15.000000 62.276850 -0.178523
235 525.000000 15.000000 62.393773 -0.084985
236 540.000000 15.000000 62.464646 -0.028286
237 555.000000 15.000000 62.488879 -0.008899
238 570.000000 15.000000 62.465883 -0.027296
239 585.000000 15.000000 62.395067 -0.083949
240 600.000000 15.000000 62.275840 -0.179330
241 615.000000 15.000000 62.107613 -0.313911
242 630.000000 15.000000 61.889796 -0.488165
243 645.000000 15.000000 61.621798 -0.702563
244 660.000000 15.000000 61.303030 -0.957577
245 675.000000 15.000000 60.932901 -1.253680
246 690.000000 15.000000 60.510807 -1.591355
247 705.000000 15.000000 60.035280 -1.971777
248 720.000000 15.000000 59.505195 -2.395845
249 735.000000 15.000000 58.947823 -2.841742
250 750.000000 15.000000 58.354098 -3.316722
251 765.000000 15.000000 57.711352 -3.830919
252 780.000000 15.000000 57.073680 -4.341056
253 795.000000 15.000000 56.366371 -4.906903
254 810.000000 15.000000 55.595276 -5.523779
255 825.000000 15.000000 54.763643 -6.189085
256 840.000000 15.000000 53.874541 -6.900367
257 855.000000 15.000000 52.931038 -7.655169
258 870.000000 15.000000 51.936203 -8.451038
259 885.000000 15.000000 50.893103 -9.285517
260 900.000000 15.000000 49.804807 -10.156154
261 915.000000 15.000000 48.674385 -11.060492
262 930.000000 15.000000 47.504903 -11.996077
263 945.000000 15.000000 46.299431 -12.960455
264 960.000000 15.000000 45.061037 -13.951170
265 975.000000 15.000000 43.792789 -14.965768
266 990.000000 15.000000 42.497756 -16.001794
267 1005.000000 15.000000 41.179007 -17.056794
268 1020.000000 15.000000 39.839609 -18.128312
269 1035.000000 15.000000 38.482631 -19.213895
270 1050.000000 15.000000 37.111141 -20.311086
271 1065.000000 15.000000 35.728209 -21.417432
272 1080.000000 15.000000 34.336901 -22.530478
273 1095.000000 15.000000 32.940288 -23.647769
274 1110.000000 15.000000 31.541437 -24.766850
275 1125.000000 15.000000 30.143416 -25.885266
276 1140.000000 15.000000 28.749294 -27.000564
277 1155.000000 15.000000 27.362140 -28.110287
278 1170.000000 15.000000 25.985022 -29.211982
279 1185.000000 15.000000 24.621007 -30.303193
280 1200.000000 15.000000 23.273166 -31.381466
281 1215.000000 15.000000 21.944566 -32.444347
282 1230.000000 15.000000 20.638275 -33.489379
283 1245.000000 15.000000 19.357362 -34.514110
284 1260.000000 15.000000 18.104896 -35.516083
285 1275.000000 15.000000 16.883944 -36.492844
286 1290.000000 15.000000 15.697575 -37.441939
287 1305.000000 15.000000 14.548859 -38.360913
288 1320.000000 15.000000 13.440862 -39.247310
289 1335.000000 15.000000 12.376654 -40.098677
290 1350.000000 15.000000 11.359302 -40.912558
291 1365.000000 15.000000 10.391876 -41.686499
292 1380.000000 15.000000 9.477444 -42.418045
293 1395.000000 15.000000 8.619074 -43.104742
294 1410.000000 15.000000 7.819834 -43.744134
295 1425.000000 15.000000 7.082793 -44.333766
296 1440.000000 15.000000 6.411020 -44.871185
297 1455.000000 15.000000 5.807583 -45.353935
298 1470.000000 15.000000 5.275550 -45.779562
299 1485.000000 15.000000 4.818160 -46.145474
300 1500.000000 15.000000 4.452064 -46.438351
301 1515.000000 15.000000 4.179225 -46.656622
302 1530.000000 15.000000 3.900320 -46.879747
303 1545.000000 15.000000 3.684009 -47.052795
304 1560.000000 15.000000 3.531363 -47.174912
305 1575.000000 15.000000 3.438317 -47.249350
